day,origin_country,destination_country,flight_count
2021-03-01,Australia,China,3
2021-03-01,Australia,Hong Kong,2
2021-03-01,Australia,India,1
2021-03-01,Australia,Japan,1
2021-03-01,Australia,Malaysia,1
2021-03-01,Australia,New Zealand,5
2021-03-01,Australia,Philippines,2
2021-03-01,Australia,Qatar,6
2021-03-01,Australia,Singapore,8
2021-03-01,Australia,South Korea,2
2021-03-01,Australia,Taiwan,2
2021-03-01,Australia,United Arab Emirates,3
2021-03-01,Australia,United States,11
2021-03-01,Austria,Belgium,4
2021-03-01,Austria,Cyprus,1
2021-03-01,Austria,Denmark,1
2021-03-01,Austria,Finland,1
2021-03-01,Austria,France,4
2021-03-01,Austria,Germany,22
2021-03-01,Austria,Greece,1
2021-03-01,Austria,Italy,2
2021-03-01,Austria,Luxembourg,1
2021-03-01,Austria,Malta,1
2021-03-01,Austria,Netherlands,4
2021-03-01,Austria,Poland,2
2021-03-01,Austria,Qatar,2
2021-03-01,Austria,Romania,2
2021-03-01,Austria,Russia,2
2021-03-01,Austria,Serbia,3
2021-03-01,Austria,Slovakia,1
2021-03-01,Austria,Slovenia,4
2021-03-01,Austria,Switzerland,6
2021-03-01,Austria,Taiwan,1
2021-03-01,Austria,Turkey,4
2021-03-01,Austria,Ukraine,1
2021-03-01,Austria,United Arab Emirates,2
2021-03-01,Austria,United Kingdom,1
2021-03-01,Austria,United States,1
2021-03-01,Bahamas,United States,1
2021-03-01,Bahrain,Bangladesh,1
2021-03-01,Bahrain,Germany,3
2021-03-01,Bahrain,Italy,1
2021-03-01,Bahrain,Kenya,1
2021-03-01,Bahrain,Pakistan,1
2021-03-01,Bahrain,Philippines,1
2021-03-01,Bahrain,Qatar,2
2021-03-01,Bahrain,Saudi Arabia,4
2021-03-01,Bahrain,United Arab Emirates,11
2021-03-01,Bahrain,United Kingdom,1
2021-03-01,Bangladesh,Bahrain,1
2021-03-01,Bangladesh,India,6
2021-03-01,Bangladesh,Qatar,4
2021-03-01,Bangladesh,Saudi Arabia,5
2021-03-01,Bangladesh,Singapore,1
2021-03-01,Bangladesh,Turkey,1
2021-03-01,Bangladesh,United Arab Emirates,8
2021-03-01,Barbados,Norway,1
2021-03-01,Barbados,Saint Vincent and the Grenadines,1
2021-03-01,Barbados,United Kingdom,1
2021-03-01,Barbados,United States,3
2021-03-01,Belarus,Belgium,1
2021-03-01,Belarus,Czechia,1
2021-03-01,Belarus,Finland,1
2021-03-01,Belarus,France,1
2021-03-01,Belarus,Italy,2
2021-03-01,Belarus,Lithuania,3
2021-03-01,Belarus,Netherlands,1
2021-03-01,Belarus,Poland,2
2021-03-01,Belarus,Russia,1
2021-03-01,Belarus,Serbia,1
2021-03-01,Belarus,Turkey,2
2021-03-01,Belarus,Ukraine,3
2021-03-01,Belgium,Austria,3
2021-03-01,Belgium,Belarus,1
2021-03-01,Belgium,Brazil,1
2021-03-01,Belgium,Canada,2
2021-03-01,Belgium,China,2
2021-03-01,Belgium,Croatia,1
2021-03-01,Belgium,Cyprus,1
2021-03-01,Belgium,Czechia,1
2021-03-01,Belgium,Denmark,2
2021-03-01,Belgium,Estonia,1
2021-03-01,Belgium,Finland,2
2021-03-01,Belgium,France,5
2021-03-01,Belgium,Gambia,1
2021-03-01,Belgium,Germany,7
2021-03-01,Belgium,Greece,2
2021-03-01,Belgium,Hong Kong,2
2021-03-01,Belgium,Hungary,2
2021-03-01,Belgium,Ireland,1
2021-03-01,Belgium,Israel,2
2021-03-01,Belgium,Italy,7
2021-03-01,Belgium,Morocco,2
2021-03-01,Belgium,Netherlands,4
2021-03-01,Belgium,Norway,2
2021-03-01,Belgium,Poland,5
2021-03-01,Belgium,Qatar,4
2021-03-01,Belgium,Romania,3
2021-03-01,Belgium,Saudi Arabia,1
2021-03-01,Belgium,Singapore,1
2021-03-01,Belgium,South Africa,2
2021-03-01,Belgium,South Korea,1
2021-03-01,Belgium,Spain,6
2021-03-01,Belgium,Sweden,2
2021-03-01,Belgium,Switzerland,2
2021-03-01,Belgium,Turkey,3
2021-03-01,Belgium,United Arab Emirates,3
2021-03-01,Belgium,United Kingdom,2
2021-03-01,Belgium,United States,7
2021-03-01,Bermuda,United States,4
2021-03-01,Brazil,Belgium,1
2021-03-01,Brazil,Canada,1
2021-03-01,Brazil,Colombia,3
2021-03-01,Brazil,France,1
2021-03-01,Brazil,Germany,1
2021-03-01,Brazil,Netherlands,1
2021-03-01,Brazil,Panama,2
2021-03-01,Brazil,Portugal,1
2021-03-01,Brazil,Qatar,2
2021-03-01,Brazil,Senegal,2
2021-03-01,Brazil,Spain,2
2021-03-01,Brazil,Switzerland,1
2021-03-01,Brazil,Turkey,1
2021-03-01,Brazil,United States,12
2021-03-01,Brunei,Malaysia,1
2021-03-01,Brunei,Singapore,1
2021-03-01,Bulgaria,Turkey,2
2021-03-01,Bulgaria,United Kingdom,1
2021-03-01,Canada,Australia,1
2021-03-01,Canada,China,3
2021-03-01,Canada,France,5
2021-03-01,Canada,Germany,4
2021-03-01,Canada,India,2
2021-03-01,Canada,Israel,1
2021-03-01,Canada,Italy,1
2021-03-01,Canada,Japan,2
2021-03-01,Canada,Morocco,1
2021-03-01,Canada,Netherlands,2
2021-03-01,Canada,Panama,1
2021-03-01,Canada,Portugal,1
2021-03-01,Canada,Qatar,1
2021-03-01,Canada,Singapore,1
2021-03-01,Canada,South Korea,3
2021-03-01,Canada,Switzerland,3
2021-03-01,Canada,Taiwan,2
2021-03-01,Canada,Turkey,2
2021-03-01,Canada,United Arab Emirates,1
2021-03-01,Canada,United Kingdom,5
2021-03-01,Canada,United States,44
2021-03-01,Cape Verde,Portugal,1
2021-03-01,China,Bangladesh,2
2021-03-01,China,Belgium,1
2021-03-01,China,France,1
2021-03-01,China,India,1
2021-03-01,China,Japan,4
2021-03-01,China,Malaysia,3
2021-03-01,China,Philippines,2
2021-03-01,China,Qatar,1
2021-03-01,China,Russia,2
2021-03-01,China,Singapore,3
2021-03-01,China,South Korea,2
2021-03-01,China,United Arab Emirates,1
2021-03-01,Colombia,France,1
2021-03-01,Colombia,Netherlands,1
2021-03-01,Colombia,Panama,3
2021-03-01,Colombia,Spain,2
2021-03-01,Colombia,United States,15
2021-03-01,Croatia,Austria,1
2021-03-01,Croatia,France,2
2021-03-01,Croatia,Germany,3
2021-03-01,Croatia,Italy,1
2021-03-01,Croatia,Netherlands,2
2021-03-01,Croatia,Serbia,1
2021-03-01,Croatia,Turkey,1
2021-03-01,Croatia,United Arab Emirates,1
2021-03-01,Croatia,United Kingdom,1
2021-03-01,Cyprus,Belarus,1
2021-03-01,Cyprus,Greece,5
2021-03-01,Cyprus,Israel,2
2021-03-01,Cyprus,Italy,1
2021-03-01,Cyprus,Qatar,1
2021-03-01,Cyprus,Russia,3
2021-03-01,Cyprus,Serbia,2
2021-03-01,Cyprus,Turkey,2
2021-03-01,Cyprus,Ukraine,1
2021-03-01,Cyprus,United Arab Emirates,2
2021-03-01,Cyprus,United Kingdom,1
2021-03-01,Czechia,Austria,1
2021-03-01,Czechia,Belgium,2
2021-03-01,Czechia,Denmark,1
2021-03-01,Czechia,Finland,2
2021-03-01,Czechia,France,3
2021-03-01,Czechia,Germany,5
2021-03-01,Czechia,Hungary,1
2021-03-01,Czechia,Netherlands,5
2021-03-01,Czechia,Poland,2
2021-03-01,Czechia,Qatar,1
2021-03-01,Czechia,Russia,1
2021-03-01,Czechia,Switzerland,1
2021-03-01,Czechia,Turkey,1
2021-03-01,Czechia,Ukraine,4
2021-03-01,Denmark,Austria,1
2021-03-01,Denmark,Belgium,3
2021-03-01,Denmark,Canada,1
2021-03-01,Denmark,Finland,1
2021-03-01,Denmark,France,3
2021-03-01,Denmark,Germany,7
2021-03-01,Denmark,Hungary,1
2021-03-01,Denmark,Italy,3
2021-03-01,Denmark,Latvia,1
2021-03-01,Denmark,Lithuania,1
2021-03-01,Denmark,Netherlands,7
2021-03-01,Denmark,Norway,5
2021-03-01,Denmark,Poland,1
2021-03-01,Denmark,Qatar,1
2021-03-01,Denmark,Serbia,1
2021-03-01,Denmark,Singapore,1
2021-03-01,Denmark,Spain,1
2021-03-01,Denmark,Sweden,5
2021-03-01,Denmark,Switzerland,3
2021-03-01,Denmark,Turkey,1
2021-03-01,Denmark,United Arab Emirates,1
2021-03-01,Denmark,United Kingdom,1
2021-03-01,Denmark,United States,2
2021-03-01,Estonia,Finland,3
2021-03-01,Estonia,Germany,3
2021-03-01,Estonia,Latvia,1
2021-03-01,Estonia,Netherlands,1
2021-03-01,Estonia,Poland,2
2021-03-01,Estonia,Sweden,1
2021-03-01,Estonia,Ukraine,1
2021-03-01,Finland,Austria,1
