day,origin_country,destination_country,flight_count
2021-06-01,Algeria,France,4
2021-06-01,Algeria,Spain,1
2021-06-01,Algeria,United Kingdom,1
2021-06-01,Aruba,Brazil,1
2021-06-01,Aruba,Colombia,1
2021-06-01,Aruba,Netherlands,1
2021-06-01,Aruba,United States,15
2021-06-01,Australia,Brunei,1
2021-06-01,Australia,China,1
2021-06-01,Australia,Hong Kong,4
2021-06-01,Australia,India,1
2021-06-01,Australia,Indonesia,1
2021-06-01,Australia,Japan,1
2021-06-01,Australia,New Zealand,21
2021-06-01,Australia,Philippines,2
2021-06-01,Australia,Qatar,4
2021-06-01,Australia,Singapore,14
2021-06-01,Australia,Taiwan,3
2021-06-01,Australia,United States,11
2021-06-01,Australia,Vietnam,1
2021-06-01,Austria,Belgium,4
2021-06-01,Austria,Bulgaria,1
2021-06-01,Austria,Croatia,1
2021-06-01,Austria,Czechia,2
2021-06-01,Austria,Denmark,1
2021-06-01,Austria,Estonia,1
2021-06-01,Austria,Finland,1
2021-06-01,Austria,France,3
2021-06-01,Austria,Germany,37
2021-06-01,Austria,Greece,1
2021-06-01,Austria,Hungary,1
2021-06-01,Austria,Israel,1
2021-06-01,Austria,Italy,10
2021-06-01,Austria,Malta,1
2021-06-01,Austria,Netherlands,4
2021-06-01,Austria,Norway,1
2021-06-01,Austria,Poland,6
2021-06-01,Austria,Portugal,1
2021-06-01,Austria,Romania,2
2021-06-01,Austria,Russia,3
2021-06-01,Austria,Serbia,1
2021-06-01,Austria,Slovakia,2
2021-06-01,Austria,Slovenia,2
2021-06-01,Austria,Spain,9
2021-06-01,Austria,Switzerland,10
2021-06-01,Austria,Turkey,3
2021-06-01,Austria,United Arab Emirates,1
2021-06-01,Austria,United Kingdom,4
2021-06-01,Austria,United States,4
2021-06-01,Bahamas,United States,9
2021-06-01,Bahrain,Bangladesh,1
2021-06-01,Bahrain,Germany,4
2021-06-01,Bahrain,Greece,1
2021-06-01,Bahrain,Hong Kong,1
2021-06-01,Bahrain,Italy,1
2021-06-01,Bahrain,Kuwait,7
2021-06-01,Bahrain,Lebanon,1
2021-06-01,Bahrain,Malaysia,1
2021-06-01,Bahrain,Philippines,1
2021-06-01,Bahrain,Saudi Arabia,7
2021-06-01,Bahrain,Turkey,1
2021-06-01,Bahrain,United Arab Emirates,9
2021-06-01,Bahrain,United Kingdom,3
2021-06-01,Bangladesh,Bahrain,1
2021-06-01,Bangladesh,Hong Kong,1
2021-06-01,Bangladesh,India,1
2021-06-01,Bangladesh,Kuwait,2
2021-06-01,Bangladesh,Qatar,4
2021-06-01,Bangladesh,Saudi Arabia,3
2021-06-01,Bangladesh,Singapore,1
2021-06-01,Bangladesh,Turkey,1
2021-06-01,Bangladesh,United Arab Emirates,6
2021-06-01,Barbados,Puerto Rico,1
2021-06-01,Barbados,Saint Lucia,1
2021-06-01,Barbados,Switzerland,1
2021-06-01,Barbados,United Kingdom,1
2021-06-01,Barbados,United States,1
2021-06-01,Belarus,Israel,1
2021-06-01,Belarus,Russia,2
2021-06-01,Belarus,Turkey,2
2021-06-01,Belarus,United Arab Emirates,1
2021-06-01,Belgium,Austria,3
2021-06-01,Belgium,Brazil,1
2021-06-01,Belgium,Canada,1
2021-06-01,Belgium,Croatia,1
2021-06-01,Belgium,Cyprus,1
2021-06-01,Belgium,Denmark,3
2021-06-01,Belgium,Finland,2
2021-06-01,Belgium,France,14
2021-06-01,Belgium,Germany,17
2021-06-01,Belgium,Greece,4
2021-06-01,Belgium,Hungary,3
2021-06-01,Belgium,Iceland,2
2021-06-01,Belgium,India,1
2021-06-01,Belgium,Ireland,3
2021-06-01,Belgium,Israel,2
2021-06-01,Belgium,Italy,14
2021-06-01,Belgium,Japan,1
2021-06-01,Belgium,Malta,1
2021-06-01,Belgium,Netherlands,7
2021-06-01,Belgium,Norway,4
2021-06-01,Belgium,Poland,3
2021-06-01,Belgium,Portugal,6
2021-06-01,Belgium,Qatar,3
2021-06-01,Belgium,Romania,2
2021-06-01,Belgium,Russia,1
2021-06-01,Belgium,Senegal,1
2021-06-01,Belgium,Serbia,1
2021-06-01,Belgium,Spain,23
2021-06-01,Belgium,Sweden,6
2021-06-01,Belgium,Switzerland,3
2021-06-01,Belgium,Tunisia,1
2021-06-01,Belgium,Turkey,6
2021-06-01,Belgium,United Arab Emirates,2
2021-06-01,Belgium,United Kingdom,12
2021-06-01,Belgium,United States,9
2021-06-01,Belize,United States,1
2021-06-01,Bermuda,United States,12
2021-06-01,Brazil,Belgium,1
2021-06-01,Brazil,Colombia,4
2021-06-01,Brazil,France,2
2021-06-01,Brazil,Germany,2
2021-06-01,Brazil,Italy,1
2021-06-01,Brazil,Luxembourg,1
2021-06-01,Brazil,Netherlands,2
2021-06-01,Brazil,Panama,5
2021-06-01,Brazil,Portugal,5
2021-06-01,Brazil,Qatar,1
2021-06-01,Brazil,Spain,2
2021-06-01,Brazil,Switzerland,1
2021-06-01,Brazil,United Arab Emirates,2
2021-06-01,Brazil,United Kingdom,1
2021-06-01,Brazil,United States,7
2021-06-01,Brunei,Hong Kong,1
2021-06-01,Brunei,Singapore,2
2021-06-01,Canada,Australia,1
2021-06-01,Canada,Colombia,1
2021-06-01,Canada,Ecuador,1
2021-06-01,Canada,France,3
2021-06-01,Canada,Germany,5
2021-06-01,Canada,Guatemala,1
2021-06-01,Canada,Hong Kong,2
2021-06-01,Canada,Italy,1
2021-06-01,Canada,Japan,2
2021-06-01,Canada,Latvia,1
2021-06-01,Canada,Luxembourg,1
2021-06-01,Canada,Netherlands,3
2021-06-01,Canada,Panama,1
2021-06-01,Canada,Spain,1
2021-06-01,Canada,Switzerland,1
2021-06-01,Canada,Taiwan,2
2021-06-01,Canada,Turkey,2
2021-06-01,Canada,United Arab Emirates,1
2021-06-01,Canada,United Kingdom,2
2021-06-01,Canada,United States,78
2021-06-01,China,Germany,1
2021-06-01,China,India,1
2021-06-01,China,Japan,4
2021-06-01,China,Netherlands,1
2021-06-01,China,Philippines,3
2021-06-01,China,Russia,1
2021-06-01,China,Singapore,2
2021-06-01,China,Taiwan,3
2021-06-01,China,Turkey,1
2021-06-01,China,United Arab Emirates,1
2021-06-01,China,United States,4
2021-06-01,China,Vietnam,1
2021-06-01,Colombia,Brazil,1
2021-06-01,Colombia,Canada,1
2021-06-01,Colombia,Guatemala,1
2021-06-01,Colombia,Panama,4
2021-06-01,Colombia,Spain,2
2021-06-01,Colombia,United States,31
2021-06-01,Croatia,Austria,1
