day,origin_country,destination_country,flight_count
2021-02-01,Algeria,France,6
2021-02-01,Algeria,Qatar,1
2021-02-01,Australia,Hong Kong,5
2021-02-01,Australia,Japan,3
2021-02-01,Australia,Malaysia,1
2021-02-01,Australia,New Zealand,9
2021-02-01,Australia,Philippines,2
2021-02-01,Australia,Qatar,5
2021-02-01,Australia,Singapore,11
2021-02-01,Australia,Taiwan,3
2021-02-01,Australia,United Arab Emirates,3
2021-02-01,Australia,United States,8
2021-02-01,Austria,Belgium,5
2021-02-01,Austria,Cyprus,1
2021-02-01,Austria,Denmark,1
2021-02-01,Austria,Finland,1
2021-02-01,Austria,France,5
2021-02-01,Austria,Germany,14
2021-02-01,Austria,Hungary,1
2021-02-01,Austria,Italy,3
2021-02-01,Austria,Latvia,1
2021-02-01,Austria,Netherlands,3
2021-02-01,Austria,Qatar,1
2021-02-01,Austria,Romania,2
2021-02-01,Austria,Russia,3
2021-02-01,Austria,Serbia,1
2021-02-01,Austria,Slovakia,2
2021-02-01,Austria,Slovenia,1
2021-02-01,Austria,Switzerland,2
2021-02-01,Austria,Taiwan,1
2021-02-01,Austria,Turkey,4
2021-02-01,Austria,Ukraine,2
2021-02-01,Austria,United Arab Emirates,1
2021-02-01,Austria,United Kingdom,2
2021-02-01,Austria,United States,1
2021-02-01,Bahamas,United States,4
2021-02-01,Bahrain,Bangladesh,1
2021-02-01,Bahrain,Germany,2
2021-02-01,Bahrain,Hong Kong,2
2021-02-01,Bahrain,Lebanon,1
2021-02-01,Bahrain,Philippines,1
2021-02-01,Bahrain,United Arab Emirates,10
2021-02-01,Bahrain,United Kingdom,1
2021-02-01,Bangladesh,Hong Kong,2
2021-02-01,Bangladesh,India,3
2021-02-01,Bangladesh,Qatar,3
2021-02-01,Bangladesh,Saudi Arabia,2
2021-02-01,Bangladesh,Singapore,1
2021-02-01,Bangladesh,Turkey,1
2021-02-01,Bangladesh,United Arab Emirates,9
2021-02-01,Belarus,Belgium,1
2021-02-01,Belarus,Finland,1
2021-02-01,Belarus,Germany,1
2021-02-01,Belarus,Italy,1
2021-02-01,Belarus,Latvia,1
2021-02-01,Belarus,Lithuania,1
2021-02-01,Belarus,Netherlands,1
2021-02-01,Belarus,Poland,3
2021-02-01,Belarus,Russia,2
2021-02-01,Belarus,Serbia,1
2021-02-01,Belarus,Turkey,2
2021-02-01,Belarus,Ukraine,2
2021-02-01,Belgium,Austria,3
2021-02-01,Belgium,Belarus,1
2021-02-01,Belgium,Cyprus,1
2021-02-01,Belgium,Czechia,1
2021-02-01,Belgium,Estonia,1
2021-02-01,Belgium,France,5
2021-02-01,Belgium,Germany,6
2021-02-01,Belgium,Hong Kong,2
2021-02-01,Belgium,Hungary,1
2021-02-01,Belgium,Ireland,1
2021-02-01,Belgium,Israel,1
2021-02-01,Belgium,Italy,1
2021-02-01,Belgium,Netherlands,1
2021-02-01,Belgium,Norway,2
2021-02-01,Belgium,Poland,2
2021-02-01,Belgium,Portugal,2
2021-02-01,Belgium,Qatar,1
2021-02-01,Belgium,Romania,3
2021-02-01,Belgium,Russia,1
2021-02-01,Belgium,South Africa,1
2021-02-01,Belgium,Spain,2
2021-02-01,Belgium,Switzerland,2
2021-02-01,Belgium,Turkey,2
2021-02-01,Belgium,United Arab Emirates,1
2021-02-01,Belgium,United Kingdom,1
2021-02-01,Belgium,United States,4
2021-02-01,Belize,United States,3
2021-02-01,Bermuda,United States,4
2021-02-01,Brazil,Canada,1
2021-02-01,Brazil,France,1
2021-02-01,Brazil,Germany,1
2021-02-01,Brazil,Italy,1
2021-02-01,Brazil,Mexico,2
2021-02-01,Brazil,Netherlands,2
2021-02-01,Brazil,Panama,4
2021-02-01,Brazil,Portugal,2
2021-02-01,Brazil,Qatar,2
2021-02-01,Brazil,Spain,2
2021-02-01,Brazil,Switzerland,1
2021-02-01,Brazil,Turkey,1
2021-02-01,Brazil,United States,8
2021-02-01,Brunei,Philippines,1
2021-02-01,Brunei,Singapore,1
2021-02-01,Bulgaria,Germany,1
2021-02-01,Bulgaria,Turkey,1
2021-02-01,Canada,Australia,1
2021-02-01,Canada,Belgium,1
2021-02-01,Canada,China,1
2021-02-01,Canada,Finland,1
2021-02-01,Canada,France,3
2021-02-01,Canada,French Polynesia,1
2021-02-01,Canada,Germany,2
2021-02-01,Canada,Guatemala,1
2021-02-01,Canada,India,2
2021-02-01,Canada,Israel,1
2021-02-01,Canada,Italy,1
2021-02-01,Canada,Japan,1
2021-02-01,Canada,Mexico,2
2021-02-01,Canada,Morocco,1
