day,origin_country,destination_country,flight_count
2021-05-01,Algeria,France,5
2021-05-01,Algeria,Morocco,1
2021-05-01,Algeria,Qatar,1
2021-05-01,Algeria,Spain,2
2021-05-01,Aruba,Colombia,1
2021-05-01,Aruba,Netherlands,1
2021-05-01,Aruba,Panama,1
2021-05-01,Aruba,United States,21
2021-05-01,Australia,China,2
2021-05-01,Australia,Hong Kong,5
2021-05-01,Australia,Japan,2
2021-05-01,Australia,Malaysia,3
2021-05-01,Australia,New Zealand,30
2021-05-01,Australia,Qatar,5
2021-05-01,Australia,Singapore,15
2021-05-01,Australia,Switzerland,1
2021-05-01,Australia,Taiwan,2
2021-05-01,Australia,United Arab Emirates,2
2021-05-01,Australia,United Kingdom,1
2021-05-01,Australia,United States,15
2021-05-01,Australia,Vietnam,2
2021-05-01,Austria,Belgium,2
2021-05-01,Austria,Cyprus,1
2021-05-01,Austria,Denmark,2
2021-05-01,Austria,France,1
2021-05-01,Austria,Germany,12
2021-05-01,Austria,Greece,1
2021-05-01,Austria,Israel,2
2021-05-01,Austria,Italy,2
2021-05-01,Austria,Jordan,1
2021-05-01,Austria,Netherlands,2
2021-05-01,Austria,Norway,1
2021-05-01,Austria,Romania,1
2021-05-01,Austria,Russia,2
2021-05-01,Austria,Serbia,1
2021-05-01,Austria,Spain,4
2021-05-01,Austria,Sweden,1
2021-05-01,Austria,Switzerland,3
2021-05-01,Austria,Taiwan,1
2021-05-01,Austria,Turkey,3
2021-05-01,Austria,United Kingdom,2
2021-05-01,Austria,United States,2
2021-05-01,Bahamas,United States,2
2021-05-01,Bahrain,Bangladesh,1
2021-05-01,Bahrain,China,1
2021-05-01,Bahrain,Germany,3
2021-05-01,Bahrain,India,2
2021-05-01,Bahrain,Italy,1
2021-05-01,Bahrain,Kuwait,6
2021-05-01,Bahrain,Philippines,1
2021-05-01,Bahrain,Saudi Arabia,6
2021-05-01,Bahrain,South Korea,1
2021-05-01,Bahrain,United Arab Emirates,12
2021-05-01,Bahrain,United Kingdom,1
2021-05-01,Bangladesh,Hong Kong,2
2021-05-01,Bangladesh,India,2
2021-05-01,Bangladesh,Kuwait,1
2021-05-01,Bangladesh,Malaysia,1
2021-05-01,Bangladesh,Netherlands,1
2021-05-01,Bangladesh,Qatar,2
2021-05-01,Bangladesh,Saudi Arabia,3
2021-05-01,Bangladesh,Singapore,2
2021-05-01,Bangladesh,Spain,1
2021-05-01,Bangladesh,United Arab Emirates,8
2021-05-01,Barbados,Saint Lucia,1
2021-05-01,Barbados,Saint Vincent and the Grenadines,2
2021-05-01,Barbados,United States,2
2021-05-01,Belarus,Belgium,1
2021-05-01,Belarus,Cyprus,1
2021-05-01,Belarus,Estonia,1
2021-05-01,Belarus,France,1
2021-05-01,Belarus,Israel,1
2021-05-01,Belarus,Italy,1
2021-05-01,Belarus,Latvia,1
2021-05-01,Belarus,Lithuania,4
2021-05-01,Belarus,Netherlands,1
2021-05-01,Belarus,Norway,1
2021-05-01,Belarus,Poland,1
2021-05-01,Belarus,Russia,2
2021-05-01,Belarus,Serbia,1
2021-05-01,Belarus,Spain,1
2021-05-01,Belarus,Sweden,1
2021-05-01,Belarus,Ukraine,5
2021-05-01,Belarus,United Arab Emirates,1
2021-05-01,Belgium,Belarus,1
2021-05-01,Belgium,France,10
2021-05-01,Belgium,Germany,1
2021-05-01,Belgium,Greece,2
2021-05-01,Belgium,Hong Kong,2
2021-05-01,Belgium,Ireland,3
2021-05-01,Belgium,Israel,2
2021-05-01,Belgium,Italy,3
2021-05-01,Belgium,Morocco,1
2021-05-01,Belgium,Netherlands,3
