day,origin_country,destination_country,flight_count
2021-01-01,Australia,Brunei,1
2021-01-01,Australia,China,1
2021-01-01,Australia,Hong Kong,4
2021-01-01,Australia,India,1
2021-01-01,Australia,Japan,1
2021-01-01,Australia,Malaysia,1
2021-01-01,Australia,New Zealand,5
2021-01-01,Australia,Qatar,4
2021-01-01,Australia,Singapore,12
2021-01-01,Australia,Taiwan,1
2021-01-01,Australia,United Arab Emirates,4
2021-01-01,Australia,United States,12
2021-01-01,Austria,Belgium,2
2021-01-01,Austria,Denmark,3
2021-01-01,Austria,France,1
2021-01-01,Austria,Germany,5
2021-01-01,Austria,Hungary,1
2021-01-01,Austria,Israel,1
2021-01-01,Austria,Italy,2
2021-01-01,Austria,Luxembourg,2
2021-01-01,Austria,Netherlands,2
2021-01-01,Austria,Poland,2
2021-01-01,Austria,Portugal,1
2021-01-01,Austria,Qatar,1
2021-01-01,Austria,Slovenia,1
2021-01-01,Austria,Spain,4
2021-01-01,Austria,Sweden,1
2021-01-01,Austria,Switzerland,1
2021-01-01,Austria,Taiwan,1
2021-01-01,Austria,Turkey,1
2021-01-01,Austria,Ukraine,1
2021-01-01,Austria,United Arab Emirates,1
2021-01-01,Austria,United States,2
2021-01-01,Bahrain,Hong Kong,2
2021-01-01,Bahrain,India,1
2021-01-01,Bahrain,Saudi Arabia,1
2021-01-01,Bahrain,United Arab Emirates,11
2021-01-01,Bahrain,United Kingdom,1
2021-01-01,Bahrain,Vietnam,1
2021-01-01,Barbados,Canada,1
2021-01-01,Barbados,Saint Vincent and the Grenadines,5
2021-01-01,Barbados,United States,4
2021-01-01,Belarus,Germany,1
2021-01-01,Belarus,Lithuania,1
2021-01-01,Belarus,Russia,1
2021-01-01,Belarus,Serbia,1
2021-01-01,Belarus,Ukraine,3
2021-01-01,Belgium,Austria,1
2021-01-01,Belgium,France,6
2021-01-01,Belgium,Germany,2
2021-01-01,Belgium,Israel,2
2021-01-01,Belgium,Italy,4
2021-01-01,Belgium,Luxembourg,1
2021-01-01,Belgium,Malta,1
2021-01-01,Belgium,Morocco,1
2021-01-01,Belgium,Norway,1
2021-01-01,Belgium,Poland,1
2021-01-01,Belgium,Portugal,2
2021-01-01,Belgium,Qatar,2
2021-01-01,Belgium,Romania,1
2021-01-01,Belgium,Spain,2
2021-01-01,Belgium,Sweden,1
2021-01-01,Belgium,Switzerland,1
2021-01-01,Belgium,Turkey,3
2021-01-01,Belgium,United Kingdom,2
2021-01-01,Belgium,United States,2
2021-01-01,Belize,United States,1
2021-01-01,Bermuda,Canada,1
2021-01-01,Bermuda,United States,4
2021-01-01,Brazil,Colombia,1
2021-01-01,Brazil,France,2
2021-01-01,Brazil,Germany,2
2021-01-01,Brazil,Italy,1
2021-01-01,Brazil,Mexico,1
2021-01-01,Brazil,Netherlands,1
2021-01-01,Brazil,Panama,3
2021-01-01,Brazil,Peru,1
2021-01-01,Brazil,Portugal,3
2021-01-01,Brazil,Qatar,1
2021-01-01,Brazil,Spain,2
2021-01-01,Brazil,Turkey,1
2021-01-01,Brazil,United Arab Emirates,2
2021-01-01,Brazil,United States,12
2021-01-01,Brunei,Australia,1
2021-01-01,Brunei,Indonesia,1
2021-01-01,Brunei,Malaysia,1
2021-01-01,Brunei,Singapore,1
2021-01-01,Canada,Barbados,2
2021-01-01,Canada,Bermuda,3
2021-01-01,Canada,Brazil,1
2021-01-01,Canada,France,4
2021-01-01,Canada,Germany,2
2021-01-01,Canada,Hong Kong,1
2021-01-01,Canada,Iceland,1
2021-01-01,Canada,India,2
2021-01-01,Canada,Japan,1
2021-01-01,Canada,Mexico,1
2021-01-01,Canada,Morocco,1
2021-01-01,Canada,Netherlands,3
2021-01-01,Canada,Panama,1
2021-01-01,Canada,Philippines,1
2021-01-01,Canada,Portugal,1
2021-01-01,Canada,Qatar,1
2021-01-01,Canada,Saint Vincent and the Grenadines,1
2021-01-01,Canada,South Korea,3
2021-01-01,Canada,Taiwan,2
2021-01-01,Canada,United Arab Emirates,1
2021-01-01,Canada,United Kingdom,1
2021-01-01,Canada,United States,60
2021-01-01,China,Australia,1
2021-01-01,China,India,1
2021-01-01,China,Israel,2
2021-01-01,China,Japan,2
2021-01-01,China,Kazakhstan,2
2021-01-01,China,Singapore,3
2021-01-01,China,South Korea,1
2021-01-01,China,Taiwan,1
2021-01-01,China,United Arab Emirates,1
2021-01-01,China,United States,1
2021-01-01,Colombia,Belgium,1
2021-01-01,Colombia,Brazil,2
2021-01-01,Colombia,Mexico,1
2021-01-01,Colombia,Netherlands,1
2021-01-01,Colombia,Panama,5
2021-01-01,Colombia,Peru,1
2021-01-01,Colombia,Spain,1
2021-01-01,Colombia,United States,24
2021-01-01,Costa Rica,Canada,1
2021-01-01,Costa Rica,Guatemala,2
2021-01-01,Costa Rica,Mexico,1
2021-01-01,Costa Rica,Panama,4
2021-01-01,Costa Rica,Spain,1
2021-01-01,Costa Rica,United States,12
2021-01-01,Croatia,Belgium,1
2021-01-01,Croatia,Germany,3
2021-01-01,Croatia,Netherlands,2
2021-01-01,Croatia,Poland,1
2021-01-01,Cyprus,Latvia,1
2021-01-01,Cyprus,Russia,1
2021-01-01,Cyprus,Turkey,1
2021-01-01,Cyprus,United Arab Emirates,1
2021-01-01,Cyprus,United Kingdom,1
2021-01-01,Czechia,Denmark,1
2021-01-01,Czechia,France,2
2021-01-01,Czechia,Germany,1
2021-01-01,Czechia,Netherlands,3
2021-01-01,Czechia,Poland,1
2021-01-01,Czechia,Qatar,2
2021-01-01,Czechia,Serbia,1
2021-01-01,Czechia,Spain,1
2021-01-01,Czechia,Turkey,1
2021-01-01,Czechia,Ukraine,2
2021-01-01,Czechia,United Arab Emirates,1
2021-01-01,Czechia,United Kingdom,2
2021-01-01,Denmark,Austria,2
2021-01-01,Denmark,Bulgaria,1
2021-01-01,Denmark,France,1
2021-01-01,Denmark,Germany,2
2021-01-01,Denmark,Ireland,1
2021-01-01,Denmark,Latvia,1
2021-01-01,Denmark,Netherlands,5
2021-01-01,Denmark,Norway,3
2021-01-01,Denmark,Poland,1
2021-01-01,Denmark,Qatar,1
2021-01-01,Denmark,Russia,1
2021-01-01,Denmark,Serbia,1
2021-01-01,Denmark,Sweden,3
2021-01-01,Denmark,Switzerland,1
2021-01-01,Denmark,Turkey,1
2021-01-01,Denmark,United Arab Emirates,1
2021-01-01,Denmark,United Kingdom,3
2021-01-01,Denmark,United States,1
2021-01-01,Ecuador,Panama,1
2021-01-01,Ecuador,United States,1
2021-01-01,Estonia,Latvia,1
2021-01-01,Estonia,Netherlands,1
2021-01-01,Estonia,Poland,1
2021-01-01,Estonia,United Kingdom,1
2021-01-01,Finland,Belgium,1
2021-01-01,Finland,Denmark,2
2021-01-01,Finland,Estonia,2
2021-01-01,Finland,France,1
2021-01-01,Finland,Germany,2
2021-01-01,Finland,Hong Kong,1
2021-01-01,Finland,Japan,1
2021-01-01,Finland,Netherlands,3
2021-01-01,Finland,Norway,2
2021-01-01,Finland,Qatar,1
2021-01-01,Finland,Russia,1
2021-01-01,Finland,South Korea,1
2021-01-01,Finland,Sweden,2
2021-01-01,Finland,Switzerland,1
2021-01-01,France,Austria,1
2021-01-01,France,Belgium,4
2021-01-01,France,Brazil,1
2021-01-01,France,Canada,3
2021-01-01,France,Costa Rica,1
2021-01-01,France,Czechia,2
2021-01-01,France,Denmark,2
2021-01-01,France,Germany,5
2021-01-01,France,India,3
2021-01-01,France,Ireland,4
2021-01-01,France,Israel,1
2021-01-01,France,Italy,8
2021-01-01,France,Japan,1
2021-01-01,France,Latvia,1
2021-01-01,France,Lebanon,3
2021-01-01,France,Luxembourg,3
2021-01-01,France,Malta,2
2021-01-01,France,Mexico,1
2021-01-01,France,Morocco,23
2021-01-01,France,Netherlands,10
2021-01-01,France,Panama,1
2021-01-01,France,Poland,4
2021-01-01,France,Portugal,31
2021-01-01,France,Qatar,3
2021-01-01,France,Romania,1
2021-01-01,France,Russia,1
2021-01-01,France,Singapore,1
2021-01-01,France,South Africa,1
2021-01-01,France,South Korea,3
2021-01-01,France,Spain,15
2021-01-01,France,Sweden,3
2021-01-01,France,Switzerland,13
2021-01-01,France,Taiwan,1
2021-01-01,France,Turkey,4
2021-01-01,France,Ukraine,1
2021-01-01,France,United Arab Emirates,6
2021-01-01,France,United Kingdom,12
2021-01-01,France,United States,12
2021-01-01,Germany,Austria,3
2021-01-01,Germany,Bahrain,2
2021-01-01,Germany,Barbados,1
2021-01-01,Germany,Belarus,1
2021-01-01,Germany,Belgium,5
2021-01-01,Germany,Brazil,1
2021-01-01,Germany,Canada,1
2021-01-01,Germany,China,2
2021-01-01,Germany,Croatia,3
2021-01-01,Germany,Denmark,3
2021-01-01,Germany,Finland,2
2021-01-01,Germany,France,4
2021-01-01,Germany,Greece,1
2021-01-01,Germany,Hong Kong,4
2021-01-01,Germany,Hungary,3
2021-01-01,Germany,India,5
2021-01-01,Germany,Ireland,5
2021-01-01,Germany,Italy,5
2021-01-01,Germany,Japan,2
2021-01-01,Germany,Latvia,1
2021-01-01,Germany,Lebanon,1
2021-01-01,Germany,Lithuania,1
2021-01-01,Germany,Luxembourg,1
2021-01-01,Germany,Mexico,1
2021-01-01,Germany,Morocco,1
2021-01-01,Germany,Netherlands,11
2021-01-01,Germany,Norway,1
2021-01-01,Germany,Poland,4
2021-01-01,Germany,Portugal,7
2021-01-01,Germany,Qatar,5
2021-01-01,Germany,Romania,2
2021-01-01,Germany,Russia,8
2021-01-01,Germany,Serbia,1
2021-01-01,Germany,Singapore,1
2021-01-01,Germany,South Korea,8
2021-01-01,Germany,Spain,18
2021-01-01,Germany,Sweden,4
2021-01-01,Germany,Switzerland,5
2021-01-01,Germany,Taiwan,1
2021-01-01,Germany,Turkey,12
2021-01-01,Germany,Ukraine,3
2021-01-01,Germany,United Arab Emirates,8
2021-01-01,Germany,United Kingdom,13
2021-01-01,Germany,United States,18
2021-01-01,Greece,Germany,1
2021-01-01,Greece,Netherlands,2
2021-01-01,Greece,Russia,1
2021-01-01,Greece,Switzerland,2
2021-01-01,Greece,United Arab Emirates,1
2021-01-01,Greece,United Kingdom,2
2021-01-01,Guatemala,Costa Rica,1
2021-01-01,Guatemala,Mexico,3
2021-01-01,Guatemala,Panama,1
2021-01-01,Guatemala,United States,11
2021-01-01,Guernsey,United Kingdom,2
2021-01-01,Hong Kong,Australia,5
2021-01-01,Hong Kong,Belgium,1
2021-01-01,Hong Kong,Finland,1
2021-01-01,Hong Kong,Germany,5
2021-01-01,Hong Kong,India,10
2021-01-01,Hong Kong,Israel,2
2021-01-01,Hong Kong,Japan,5
2021-01-01,Hong Kong,Kazakhstan,2
2021-01-01,Hong Kong,Malaysia,3
2021-01-01,Hong Kong,Netherlands,2
2021-01-01,Hong Kong,New Zealand,2
2021-01-01,Hong Kong,Philippines,3
2021-01-01,Hong Kong,Qatar,3
2021-01-01,Hong Kong,Russia,3
2021-01-01,Hong Kong,Singapore,9
2021-01-01,Hong Kong,South Korea,10
2021-01-01,Hong Kong,Taiwan,24
2021-01-01,Hong Kong,United Arab Emirates,10
2021-01-01,Hong Kong,United Kingdom,1
2021-01-01,Hong Kong,United States,10
2021-01-01,Hong Kong,Vietnam,3
